1,1,4500,3800,2023-01-01
2,2,4800,4000,2023-01-02
3,3,5000,4200,2023-01-03
4,4,5200,4300,2023-01-04
5,5,4700,3950,2023-01-05
6,6,5500,4600,2023-01-06
7,7,5300,4450,2023-01-07
8,8,6000,5000,2023-01-08
9,9,4600,3850,2023-01-09
10,10,6500,5400,2023-01-10
11,11,4800,4000,2023-01-11
12,12,7000,5800,2023-01-12
13,13,4900,4100,2023-01-13
14,14,6800,5600,2023-01-14
15,15,5100,4300,2023-01-15
16,16,7200,6000,2023-01-16
17,17,4700,3900,2023-01-17
18,18,6900,5650,2023-01-18
19,19,5200,4350,2023-01-19
20,20,7500,6200,2023-01-20
21,21,4800,4000,2023-01-21
22,22,7100,5900,2023-01-22
23,23,5300,4450,2023-01-23
24,24,7800,6400,2023-01-24
25,25,4600,3850,2023-01-25
26,26,6900,5650,2023-01-26
27,27,5400,4550,2023-01-27
28,28,8000,6600,2023-01-28
29,29,4700,3950,2023-01-29
30,30,7200,6000,2023-01-30
31,31,5600,4700,2023-01-31
32,32,8200,6800,2023-02-01
33,33,4500,3800,2023-02-02
34,34,7000,5800,2023-02-03
35,35,5300,4450,2023-02-04
36,36,8500,7000,2023-02-05
37,37,4800,4000,2023-02-06
38,38,7300,6100,2023-02-07
39,39,5400,4550,2023-02-08
40,40,8800,7200,2023-02-09
41,41,4600,3850,2023-02-10
42,42,7500,6200,2023-02-11
43,43,5600,4700,2023-02-12
44,44,9000,7400,2023-02-13
45,45,4700,3950,2023-02-14
46,46,7700,6350,2023-02-15
47,47,5800,4850,2023-02-16
48,48,8800,7200,2023-02-17
49,49,4800,4000,2023-02-18
50,50,7200,6000,2023-02-19
51,51,6000,5000,2023-02-20
52,52,9000,7400,2023-02-21
53,53,4500,3800,2023-02-22
54,54,7500,6200,2023-02-23
55,55,5400,4550,2023-02-24
56,56,8500,7000,2023-02-25
57,57,5000,4200,2023-02-26
58,58,7800,6400,2023-02-27
59,59,5600,4700,2023-02-28
60,60,9000,7400,2023-03-01
61,61,4600,3850,2023-03-02
62,62,7000,5800,2023-03-03
63,63,5300,4450,2023-03-04
64,64,8200,6800,2023-03-05
65,65,4800,4000,2023-03-06
